Order,8- or 10-Digit HS Code,brief_description,Sector,Subsector,Stage,mfn_text,Unit of Quantity
1365,6116106500,"Other Gloves, Knitted Or Crocheted, Containing Less Than 50 Percent Mfa Fibers, No Fourchettes, Impregnated",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,DPR
1366,6210105010,"Surgical Or Isolation Gowns, Disposable, Of Nonwoven Fabrics Of Heading 5602 Or 5603",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,DOZ
1367,6210105090,"Disposable Apparel Designed For Use In Hospitals, Clinics, Laboratories And Other Areas, Of Nonwoven Fabricsof Heading 5602 Or 5603, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,DOZ
1368,6307906090,"Other Made Up Articles, Including Dress Patterns: Surgical Drapes, Of Fabric Formed On A Base Of Paper Or Covered With Paper, Other",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,KG
1369,6307906800,"Other Made Up Articles, Including Dress Patterns: Surgical Drapes Of Spunlaced Or Bonded Fiber Fabric Disposable Surgical Drapes Of Man-Made Fibers",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,KG
1370,6307907200,"Other Made Up Articles, Including Dress Patterns: Surgical Drapes, NESOI, Not Spunlaced Or Bonded Fiber Fabric.",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,KG
1371,6307909845,N95 Respirators Of Textiles,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,NO
1372,6307909850,"Respirators Of Textiles, Other Than N95",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,NO
1373,6307909870,"Face Masks Of Textiles, Disposable",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,NO
1374,6307909875,"Face Masks Of Textiles, Other Than Disposable",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,NO
1375,6307909891,"Made Up Textile Articles, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,NO
1376,6505008015,Nonwoven Disposable Headgear Without Peaks Or Visors Of Manmade Fibers,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,,DOZ
1377,22071060,"Undenatured ethyl alcohol of 80 percent vol. alcohol or higher, for nonbeverage purposes",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,2.50%,L
1378,22089080,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 percent vol., nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,21.1 cents/pf.liter,PFL
1379,27111400,"Ethylene, propylene, butylene and butadiene, liquefied",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,Free,KG
1380,29161300,Methacrylic acid and its salts,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,4.20%,KG
1381,29261000,Acrylonitrile,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,6.50%,KG
1382,39011010,"Polyethylene having a specific gravity of less than 0.94 and having a relative viscosity of 1.44 or more, in primary forms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,6.50%,KG
1383,39011050,"Polyethylene having a specific gravity of less than 0.94, in primary forms, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,6.50%,KG
1384,39012010,"Polyethylene having a specific gravity of 0.94 or more and having a relative viscosity of 1.44 or more, in primary forms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,6.50%,KG
1385,39012050,"Polyethylene having a specific gravity of 0.94 or more, in primary forms, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,6.50%,KG
1386,39013020,"Ethylene copolymer: Vinyl acetate-vinyl chloride-ethylene terpoly w/ < 50% deriv of vinyl acetate, exc polymer aromatic/mod arom monomers",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,Free,KG
1387,39013060,"Ethylene-vinyl acetate copolymers, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,5.30%,KG
1388,39014000,"Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,6.50%,KG
1389,39019010,"Polymers of ethylene, nesoi, in primary forms, elastomeric",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,Free,KG
1390,39019055,"Ethylene copolymers, in primary forms, other than elastomeric",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,6.50%,KG
1391,39021000,"Polypropylene, in primary forms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,6.50%,KG
1392,39031100,"Polystyrene, expandable, in primary forms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,6.50%,KG
1393,39031900,"Polystyrene, other than expandable, in primary forms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,6.50%,KG
1394,39074000,Polycarbonates in primary forms,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,5.80%,KG
1395,40025100,"Acrylonitrile-butadiene rubber (NBR), latex, in primary forms or in plates, sheets or strip",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,Free,KG
1396,40025900,"Acrylonitrile-butadiene rubber (NBR), other than latex, in primary forms or in plates, sheets or strip",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,Free,KG
1397,56031200,"Nonwovens, of man-made filaments, weighing >25 but not >70 g/square m, whether or not impregnated, coated, covered or laminated",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,Free,KG
1398,56031300,"Nonwovens, of man-made filaments, weighing >70 but not >150 g/square m, whether or not impregnated, coated, covered or laminated",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,Free,KG
1399,56031490,"Nonwovens (except laminated), of man-made filaments, weighing >150 g/square m, whether or not impregnated, coated, or covered",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,Free,KG
1400,56039200,"Nonwovens (not of man-made filaments), weighing >25 but not >70 g/square m, whether or not impregnated, coated, covered or laminated",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,Free,KG
1401,56039300,"Nonwovens (not of man-made filaments), weighing >70 but not >150 g/square m, whether or not impregnated, coated, covered or laminated",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,Free,KG
1402,85322200,Aluminum electrolytic fixed capacitors,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,Free,NO
1403,90200090,"Parts and accessories of breathing appliances and gas masks, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,2.50%,KG
1404,3006938000,Placebos And Clinical Trial Kits Containing Other Chemicals Other Than Medicaments,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1405,3824920000,Polyglycol Esters Of Methylphosphonic Acid,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1406,3824999310,"Mixtures Of Acyclic, Monohydric, Unsubstituted Alcohols Containing C11 Or Lower Alcohols Only",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1407,3824999320,"Mixture Of Acyclic, Monohydric Unsubstituted Alcohols, Containing C12 Or Higher Alcohols Only",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1408,3824999330,"Mixtures Of Acyclic, Monohydric, Unsubstituted Alcohols, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1409,3824999361,"Mixtures Consisting Mainly Of Chemicals Contg A Phosphorus Atom Bonded One Methyl, Ethyl, N-Propyl Or Isopropyl Group, But No Other Carbon Atoms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1410,3824999386,"Chemical Products & Preparations & Residual Products Of The Chemical/Allied Industries, Mixtures Of A Kind Containing Magnesium Used As A Desulfurization Reagent",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1411,3824999397,"Chemical products and preparations and residual products of the chemical or allied industries, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1412,5603120095,"Other Non-Wovens, Man-Made, Whether Or Not Impreg/Coated/Covered, Weighing 25-70 G/M2, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1413,5603149090,"Other Non-Woven Fabrics, Of Man-Made Filaments, Other Than Floor Covering Underlays & Laminated Fabrics, Not Impregnated/Coated/Covered, Weighing Greater Than 150 G/M2",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1414,5603920070,"Other Nonwovens, Not Manmade, Weighing More Than 25 Û 70 G/M2, Ready For Use, Packaged For Sale, Separated,Perforated, Or Impregnated, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1415,5603920095,"Other Non-Wovens, Not Man-Made, Whether Or Not Impreg/Coated/Covered, Weighing 25-70 G/M2, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1416,5603930090,"Other Non-Woven Fabrics, Not Man-Made, Other Than Floor Covering Underlays & Laminated Fabrics, Not Impregated/Covered, Weighing Greater Than 70 And Less Than=150 G/M2",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,,KG
1417,29061100,Menthol,Public Health,Pharmaceuticals & API,Final,2.10%,KG
1418,29146921,Quinone drugs,Public Health,Pharmaceuticals & API,Final,5.50%,KG
1419,29146990,"Quinones, nesoi",Public Health,Pharmaceuticals & API,Final,5.50%,KG
1420,29182330,"Esters of salicylic acid and their salts, described in additional U.S. note 3 to section VI",Public Health,Pharmaceuticals & API,Final,6.50%,KG
1421,29182350,"Esters of salicylic acid and their salts, nesoi",Public Health,Pharmaceuticals & API,Final,6.50%,KG
1422,29362100,"Vitamins A and their derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final,Free,KG
1423,29362200,"Vitamin B1 (Thiamine) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final,Free,KG
1424,29362300,"Vitamin B2 (Riboflavin) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final,Free,KG
1425,29362401,"Vitamin B5 (D- or DL-Pantothenic acid) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final,Free,KG
1426,29362500,"Vitamin B6 (Pyridoxine and related compounds with Vitamin B6 activity) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final,Free,KG
1427,29362600,"Vitamin B12 (Cyanocobalamin and related compounds with Vitamin B12 activity) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final,Free,KG
1428,29362700,"Vitamin C (Ascorbic acid) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final,Free,KG
1429,29362800,"Vitamin E (Tocopherols and related compounds with Vitamin E activity) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final,Free,KG
1430,29362910,"Folic acid and its derivatives, unmixed",Public Health,Pharmaceuticals & API,Final,Free,KG
1431,29362916,Niacin and niacinamide,Public Health,Pharmaceuticals & API,Final,Free,KG
1432,29362920,"Aromatic or modified aromatic vitamins and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Final,Free,KG
1433,29362950,"Other vitamins and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Final,Free,KG
1434,29369001,"Vitamins or provitamins (including natural concentrates) and intermixtures of the foregoing, whether or not in any solvent",Public Health,Pharmaceuticals & API,Final,Free,KG
1435,29371100,"Somatotropin, its derivatives and structural analogues",Public Health,Pharmaceuticals & API,Final,Free,GM
1436,29371200,Insulin and its salts,Public Health,Pharmaceuticals & API,Final,Free,GM
1437,29371900,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues, nesoi",Public Health,Pharmaceuticals & API,Final,Free,GM
1438,29372100,"Cortisone, hydrocortisone, prednisone (Dehydrocortisone) and prednisolone (Dehydrohydrocortisone)",Public Health,Pharmaceuticals & API,Final,Free,GM
1439,29372200,Halogenated derivatives of corticosteroidal hormones,Public Health,Pharmaceuticals & API,Final,Free,GM
1440,29372310,Estrogens and progestins obtained directly or indirectly from animal or vegetable materials,Public Health,Pharmaceuticals & API,Final,Free,NA
1441,29372325,Estradiol benzoate; and Estradiol cyclopentylpropionate (estradiol cypionate),Public Health,Pharmaceuticals & API,Final,Free,GM
1442,29372350,"Other estrogens and progestins not derived from animal or vegetable materials, nesoi",Public Health,Pharmaceuticals & API,Final,Free,GM
1443,29372910,Desonide; and Nandrolone phenpropionate,Public Health,Pharmaceuticals & API,Final,Free,GM
1444,29372990,"Steroidal hormones, their derivatives and structural analogues, nesoi",Public Health,Pharmaceuticals & API,Final,Free,GM
1445,29375000,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues",Public Health,Pharmaceuticals & API,Final,Free,GM
1446,29379005,Epinephrine,Public Health,Pharmaceuticals & API,Final,Free,GM
1447,29379010,Epinephrine hydrochloride,Public Health,Pharmaceuticals & API,Final,Free,GM
1448,29379020,"Catecholamine hormones, their derivatives and structural analogues, nesoi",Public Health,Pharmaceuticals & API,Final,Free,GM
1449,29379040,"l-Thyroxine(Levothyroxine), sodium",Public Health,Pharmaceuticals & API,Final,Free,KG
1450,29379045,"Amino-acid derivatives of hormones and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Final,Free,GM
1451,29379090,"Other hormones,their derivatives and structural analogues,other steroid derivatives and structural analogue used primarily as hormones,nesoi",Public Health,Pharmaceuticals & API,Final,Free,GM
1452,29391100,"Concentrates of poppy straw; buprenorphine (INN), codeine, dihydrocodeine (INN), ethylmorphine, and other specified INNs; salts thereof",Public Health,Pharmaceuticals & API,Final,Free,KG
1453,29391910,Papaverine and its salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1454,29391920,Synthetic alkaloids of opium and their derivatives; salts thereof; nesoi,Public Health,Pharmaceuticals & API,Final,Free,KG
1455,29391950,Nonsynthetic alkaloids of opium and their derivatives; salts thereof; nesoi,Public Health,Pharmaceuticals & API,Final,Free,GM
1456,29392000,"Alkaloids of cinchona, and their derivatives; salts thereof, other than quinine and its salts",Public Health,Pharmaceuticals & API,Final,Free,GM
1457,29393000,Caffeine and its salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1458,29394100,Ephedrine and its salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1459,29394200,Pseudoephedrine and its salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1460,29394300,Cathine (INN) and its salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1461,29394400,Norephedrine & its salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1462,29394500,"Levometamfetamine, metamfetamine (INN), metamfetamine racemate and their salts",Public Health,Pharmaceuticals & API,Final,Free,KG
1463,29394903,"Alkaloids of ephedra and their salts, other than ephedrine, pseudoephedrine, cathine, norephedrine, levometamfetamine and their salts",Public Health,Pharmaceuticals & API,Final,Free,KG
1464,29395100,Fenetylline (INN) its salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1465,29395900,Theophylline aminophylline (Theophylline-ethylenediamine) and their derivatives; salts thereof; nesoi,Public Health,Pharmaceuticals & API,Final,Free,KG
1466,29396100,Ergometrine and its salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1467,29396200,Ergotamine and its salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1468,29396300,Lysergic acid and its salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1469,29396900,"Alkaloids of rye ergot and their derivatives, nesoi; salts thereof",Public Health,Pharmaceuticals & API,Final,Free,KG
1470,29397200,"Cocaine, ecgonine; salts, esters and other derivatives thereof",Public Health,Pharmaceuticals & API,Final,Free,KG
1471,29397900,"Vegetable alkaloids, natural or reproduced by synthesis, their salts and other derivatives, nesoi",Public Health,Pharmaceuticals & API,Final,Free,KG
1472,29398000,"Other alkaloids, natural or reproduced by synthesis and their salts, ethers, esters & other derivatives, nesoi",Public Health,Pharmaceuticals & API,Final,6.50%,KG
1473,29411010,Ampicillin and its salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1474,29411020,Penicillin G salts,Public Health,Pharmaceuticals & API,Final,Free,KG
1475,29411030,"Carfecillin, sodium; cloxacillin, sodium; dicloxacillin, sodium; flucloxacillin (Floxacillin); and oxacillin, sodium",Public Health,Pharmaceuticals & API,Final,Free,KG
1476,29411050,"Penicillins and their derivatives nesoi, with a penicillanic acid structure; salts thereof",Public Health,Pharmaceuticals & API,Final,Free,KG
1477,29412050,"Streptomycins and their derivatives; salts thereof, nesoi",Public Health,Pharmaceuticals & API,Final,Free,GM
1478,29413000,Tetracyclines and their derivatives; salts thereof,Public Health,Pharmaceuticals & API,Final,Free,GM
1479,29414000,Chloramphenicol and their derivatives; salts thereof,Public Health,Pharmaceuticals & API,Final,Free,KG
1480,29415000,Erythromycin and their derivatives; salts thereof,Public Health,Pharmaceuticals & API,Final,Free,GM
1481,29419010,"Natural antibiotics, nesoi",Public Health,Pharmaceuticals & API,Final,Free,KG
1482,29419030,"Antibiotics, nesoi, aromatic or modified aromatic, other than natural",Public Health,Pharmaceuticals & API,Final,Free,KG
1483,29419050,"Antibiotics nesoi, other than aromatic or modified aromatic antibiotics",Public Health,Pharmaceuticals & API,Final,Free,KG
1484,30012000,Extracts of glands or other organs or of their secretions for organotherapeutic uses,Public Health,Pharmaceuticals & API,Final,Free,KG
1485,30019001,"Glands and other organs for organotherapeutic uses, dried, whether or not powdered",Public Health,Pharmaceuticals & API,Final,Free,KG
1486,30021200,Antisera and other blood fractions including human blood and fetal bovine serum,Public Health,Pharmaceuticals & API,Final,Free,KG
1487,30021300,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",Public Health,Pharmaceuticals & API,Final,Free,KG
1488,30021400,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",Public Health,Pharmaceuticals & API,Final,Free,KG
1489,30024100,Vaccines for human medicine,Public Health,Pharmaceuticals & API,Final,Free,KG
1490,30024200,Vaccines for veterinary medicine,Public Health,Pharmaceuticals & API,Final,Free,KG
1491,30024900,Toxins or cultures of micro-organisms (excluding yeasts),Public Health,Pharmaceuticals & API,Final,Free,KG
1492,30025100,Cell therapy products,Public Health,Pharmaceuticals & API,Final,Free,KG
1493,30025900,"Other cell cultures, other than cell therapy products",Public Health,Pharmaceuticals & API,Final,Free,KG
1494,30029010,"Ferments, excluding yeasts",Public Health,Pharmaceuticals & API,Final,Free,KG
1495,30029052,"Human blood; animal blood prepared for therapeutic, prophylactic, diagnostic uses; antisera; antiallergenic preparations nesoi & like products",Public Health,Pharmaceuticals & API,Final,Free,KG
1496,30031000,"Medicaments, cont. penicillins or streptomycins, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1497,30032000,"Medicaments containing antibiotics, nesoi, not dosage form and not packaged for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1498,30033100,"Medicaments containing insulin, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1499,30033910,"Medicaments containing artificial mixtures of natural hormones, but not antibiotics, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final,Free,GM
1500,30033950,"Medicaments containing products of heading 2937, nesoi, but not antibiotics, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1501,30034100,"Medicaments containing ephedrine or its salts, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1502,30034200,"Medicaments containing pseudoephedrine (INN) or its salts, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1503,30034300,"Medicaments containing norephedrine or its salts, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1504,30034900,"Other medicaments containing alkaloids or derivatives thereof, nesoi, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1505,30036000,"Other medicaments containing antimalarial active principles described in subheading note 2 to this chapter, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1506,30039001,"Other medicaments excl goods of heading 3002, 3005, 3006 consist of two or more consituents mixed together, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1507,30041010,"Medicaments containing penicillin G salts, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1508,30041050,"Medicaments cont. penicillins or streptomycins, nesoi, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1509,30042000,"Medicaments containing antibiotics, nesoi, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1510,30043100,"Medicaments containing insulin, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1511,30043200,"Medicaments, containing adrenal cortical hormones, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1512,30043900,"Medicaments, containing products of heading 2937 nesoi, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1513,30044100,"Medicaments containing ephedrine or its salts, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1514,30044200,"Medicaments containing pseudoephedrine (INN) or its salts, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1515,30044300,"Medicaments containing norephedrine or its salts, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1516,30044900,"Other medicaments containing alkaloids or derivatives thereof, nesoi, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1517,30045010,"Medicaments containing vitamin B2 synthesized from aromatic or mod. aromatic compounds, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1518,30045020,"Medicaments containing vitamin B12 synthesized from aromatic or mod. Aromatic compounds, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1519,30045030,"Medicaments containing vitamin E synthesized from aromatic or mod. aromatic compounds, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1520,30045040,"Medicaments containing vitamins nesoi, synthesized from aromatic or mod. aromatic compounds, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1521,30045050,"Medicaments containing vitamins or other products of heading 2936, nesoi, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1522,30046000,"Other medicaments containing antimalarial active principles described in subheading note 2 to this chapter, in dosage form and packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1523,30049010,"Medicaments containing antigens or hyaluronic acid or its sodium salt, nesoi, in dosage form or packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1524,30051010,"Adhesive dressings and other articles having an adhesive layer, coated or impregnated with pharmaceutical substances, packed for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1525,30059010,"Wadding, gauze, bandages, & similar articles, not having an adhesive layer, coated, impregnated with pharmaceutical substances, for retail",Public Health,Pharmaceuticals & API,Final,Free,KG
1526,30061001,"Sterile surgical catgut, suture materials, tissue adhesives for wound closure, laminaria, laminaria tents, and absorbable hemostatics",Public Health,Pharmaceuticals & API,Final,Free,KG
1527,30063010,Opacifying preparation for X-ray examination; diagnostic reagent designed to be administered to the patient; all cont. antigens or antisera,Public Health,Pharmaceuticals & API,Final,Free,KG
1528,30063050,"Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient, nesoi",Public Health,Pharmaceuticals & API,Final,Free,KG
1529,30064000,Dental cements and other dental fillings; bone reconstruction cements,Public Health,Pharmaceuticals & API,Final,Free,KG
1530,30065000,First-aid boxes and kits,Public Health,Pharmaceuticals & API,Final,Free,KG
1531,30066000,Chemical contraceptive preparations based on hormones or spermicides,Public Health,Pharmaceuticals & API,Final,Free,KG
1532,30069100,Appliances identifiable for ostomy use,Public Health,Pharmaceuticals & API,Final,4.20%,KG
1533,38221100,Diagnostic or laboratory reagents for malaria,Public Health,Pharmaceuticals & API,Final,Free,KG
1534,38221300,Diagnostic or laboratory reagents for blood-grouping,Public Health,Pharmaceuticals & API,Final,Free,KG
1535,38249100,Mixtures consisting mainly of methylphosphonate etc.,Public Health,Pharmaceuticals & API,Final,5%,KG
1536,28332951,Other sulfates nesoi,Public Health,Pharmaceuticals & API,Input,3.70%,KG
1537,28419040,Aluminates,Public Health,Pharmaceuticals & API,Input,3.10%,KG
1538,28421000,Double or complex silicates,Public Health,Pharmaceuticals & API,Input,3.70%,KG
1539,28429010,"Fulminates, cyanates and thiocyanates",Public Health,Pharmaceuticals & API,Input,3.10%,KG
1540,28429090,"Salts of inorganic acids or peroxoacids nesoi, excluding azides",Public Health,Pharmaceuticals & API,Input,3.30%,KG
1541,28432901,"Silver compounds, other than silver nitrate",Public Health,Pharmaceuticals & API,Input,3.70%,KG
1542,28433000,Gold compounds,Public Health,Pharmaceuticals & API,Input,5%,KG
1543,28439000,"Inorganic or organic compounds of precious metals, excluding those of silver and gold; amalgams of precious metals",Public Health,Pharmaceuticals & API,Input,3.70%,KG
1544,28444100,"Tritium and its compounds, alloys, dispersions, ceramic products and mixtures thereof",Public Health,Pharmaceuticals & API,Input,Free,NA
1545,28444200,"Actinium, californium, curium, einsteinium, gadolinium, polonium, radium, uranium & their compounds, alloys, dispersions, ceramic products & mixtures",Public Health,Pharmaceuticals & API,Input,Free,NA
1546,28444300,"Other radioactive elements, isotopes, compounds, nesoi; alloys, dispersions, ceramic products and mixtures thereof",Public Health,Pharmaceuticals & API,Input,Free,NA
1547,28452000,Boron enriched in boron-10 and its compounds,Public Health,Pharmaceuticals & API,Input,Free,KG
1548,28453000,Lithium enriched in lithium-6 and its compounds,Public Health,Pharmaceuticals & API,Input,Free,KG
1549,28454000,Helium-3,Public Health,Pharmaceuticals & API,Input,Free,KG
1550,28459001,"Isotopes not in heading 2844 and their compounds other than boron, lithium and helium",Public Health,Pharmaceuticals & API,Input,Free,KG
1551,28469020,Mixtures of rare-earth oxides or of rare-earth chlorides,Public Health,Pharmaceuticals & API,Input,Free,KG
1552,28469040,Yttrium materials and compounds containing by wt. >19% But < 85% yttrium oxide equivalent,Public Health,Pharmaceuticals & API,Input,Free,KG
1553,28469080,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium, or of mixtures of these metals, nesoi",Public Health,Pharmaceuticals & API,Input,3.70%,KG
1554,28521010,"Mercuric oxide, mercuric cyanide, mercuric oxycyanide and mercuric potassium cyanide",Public Health,Pharmaceuticals & API,Input,Free,KG
1555,28521090,Other chemically defined compounds of mercury excluding amalgams,Public Health,Pharmaceuticals & API,Input,3%,KG
1556,28529005,"Albuminates, tannates, and phosphides of mercury",Public Health,Pharmaceuticals & API,Input,Free,KG
1557,28529090,"Inorganic or organic compounds of mercury, not chemically defined, not albuminates, tannates, or phosphides, excluding amalgams",Public Health,Pharmaceuticals & API,Input,3%,KG
1558,29021900,"Cyclanic hydrocarbons (except cyclohexane), cyclenic hydrocarbons and cycloterpenes",Public Health,Pharmaceuticals & API,Input,Free,KG
1559,29029010,Pseudocumene,Public Health,Pharmaceuticals & API,Input,Free,KG
1560,29029020,"Acenaphthene, chrysene, cymene, dimethylnaphthalenes, fluoranthene, fluorene, indene, mesitylene, and other specified cyclic hydrocarbons",Public Health,Pharmaceuticals & API,Input,Free,KG
1561,29029030,Alkylbenzenes and polyalkylbenzenes,Public Health,Pharmaceuticals & API,Input,Free,KG
1562,29029040,"Anthracene and 1,4-di-(2-methylstyryl)benzene",Public Health,Pharmaceuticals & API,Input,Free,KG
1563,29029060,"Biphenyl (diphenyl), in flakes",Public Health,Pharmaceuticals & API,Input,Free,KG
1564,29029090,"Cyclic hydrocarbons, nesoi",Public Health,Pharmaceuticals & API,Input,Free,KG
1565,29034110,Trifluoromethane (HFC-23),Public Health,Pharmaceuticals & API,Input,3.70%,KG
1566,29034210,Difluoromethane (HFC-32),Public Health,Pharmaceuticals & API,Input,3.70%,KG
1567,29034310,"Fluoromethane (HFC-41), 1,2-difluoroethane (HFC-152) and 1,1-difluoroethane (HFC-152-a)",Public Health,Pharmaceuticals & API,Input,3.70%,KG
